GeneSymbol,Combined T/B,FDR,Affy T/B,Agilent T/B,Illum T/B,Nimbl T/B,AffyT.1,AffyT.2,AffyT.3,AffyB.1,AffyB.2,AffyB.3,AgilT.1,AgilT.2,AgilT.3,AgilB.1,AgilB.2,IllumT.1,IllumT.2,IllumT.3,IllumB.1,IllumB.2,IllumB.3,NimbT.1,NimbT.2,NimbT.3,NimbB.1,NimbB.2,NimbB.3
Bank1,0.007,<0.00003,0.007,0.004,,0.009,6.8,8.9,6.1,993.4,1069.3,1085.7,3.5,14.4,4.9,1673.4,2310.0,20.9,16.4,23.6,1170.1,1338.7,1036.7,146.2,119.1,158.3,16852.9,14070.9,14920.3
Tnfrsf13c,0.007,3.33333333333333E-05,,0.001,0.008,0.012,31.9,25.9,27.4,267.5,240.4,215.1,2.4,9.4,2.4,4038.0,4276.0,24.4,19.9,28.6,2995.0,3131.2,3119.7,27.6,45.6,62.4,4136.0,3581.8,4038.4
Rnase6,0.007,0.000133333333333,,0.003,0.010,0.008,11.1,11.6,13.0,534.9,466.0,443.5,6.3,4.8,8.1,2112.0,2310.0,25.3,25.6,22.1,2511.0,2407.8,2300.3,82.3,65.5,131.7,14228.2,9489.7,10942.2
Ctsh,0.007,0.0002,,0.002,0.011,0.009,6.0,5.2,5.1,193.7,187.5,158.2,19.9,31.2,13.2,12831.0,13138.0,23.8,20.0,20.5,1925.3,2053.8,2043.7,24.0,34.8,35.8,4469.5,3333.6,2856.0
Lrrk2,0.008,<0.00003,0.014,0.008,,0.001,7.0,7.0,8.3,524.0,535.2,550.2,3.7,8.9,4.6,690.8,671.0,,,,,,,16.4,17.7,16.6,11221.2,10423.6,13336.3
Cd19,0.008,0.000466666666667,0.009,0.006,0.014,0.003,5.8,7.8,7.9,853.0,740.5,759.3,36.3,43.1,36.9,7064.0,6261.0,30.1,22.5,26.2,1844.5,1852.5,1805.5,23.8,32.0,26.0,10660.5,7388.8,9193.6
Cyp4f18,0.008,<0.00003,,0.008,0.011,0.006,6.9,9.5,6.0,135.8,130.1,126.6,18.3,18.7,18.6,2588.0,2092.0,40.1,35.6,35.1,3424.5,3440.6,3538.1,19.3,54.9,19.0,5993.4,5210.5,5408.1
Serpinb1a,0.008,<0.00003,0.017,0.001,,0.006,5.0,5.4,4.9,288.6,283.5,336.4,5.1,7.5,5.8,5227.0,6412.0,25.7,29.8,23.3,531.2,633.6,504.3,105.2,41.0,120.1,14550.4,14876.3,12208.0
Ebf1,0.008,<0.00003,0.010,0.007,,0.007,5.5,6.4,6.6,562.7,611.0,653.7,1.9,2.1,2.7,245.6,363.0,47.2,53.6,45.9,818.7,1039.2,1192.3,48.0,32.1,92.7,7775.7,7358.7,10207.6
Syk,0.008,<0.00003,0.019,0.002,,0.003,9.5,11.2,11.4,543.1,518.8,617.1,13.6,2.8,5.4,3581.0,3048.0,15.4,12.7,23.9,315.5,366.5,347.5,32.9,20.3,20.8,8291.9,6416.5,7317.7
C2ta,0.008,<0.00003,,0.011,0.012,0.002,,,,,,,22.7,22.7,22.2,1648.4,2462.0,17.7,23.1,22.9,1527.3,1672.5,2058.2,15.7,18.0,16.2,8763.7,7687.7,9676.1
Spib,0.008,<0.00003,0.017,0.002,0.007,,6.2,8.6,10.7,495.2,491.1,547.9,5.6,7.1,9.0,3812.0,3227.0,28.7,31.5,25.3,4413.9,3881.6,4481.6,185.7,748.5,244.3,8218.7,7309.4,9139.0
Cd79a,0.008,3.33333333333333E-05,0.007,,0.004,0.014,10.4,9.1,9.9,1391.8,1430.9,1496.4,16.1,20.4,12.0,573.7,532.6,19.6,19.6,21.0,4211.5,4523.6,4668.9,255.3,371.0,244.9,22869.1,18454.1,20383.6
Cybb,0.009,0.000133333333333,0.013,0.003,,0.010,7.8,8.6,8.7,680.3,643.2,625.2,4.4,1.8,3.4,748.2,1431.6,34.4,30.0,25.0,881.9,881.9,706.5,34.4,17.6,24.0,2855.5,2588.1,2443.7
