GeneSymbol,Combined T/B,FDR,Affy T/B,Agilent T/B,Illum T/B,Nimbl T/B,AffyT.1,AffyT.2,AffyT.3,AffyB.1,AffyB.2,AffyB.3,AgilT.1,AgilT.2,AgilT.3,AgilB.1,AgilB.2,IllumT.1,IllumT.2,IllumT.3,IllumB.1,IllumB.2,IllumB.3,NimbT.1,NimbT.2,NimbT.3,NimbB.1,NimbB.2,NimbB.3
Atp6ap1,0.628,0.0004,0.541,0.572,0.718,0.680,198.5,228.6,197.3,397.1,385.9,370.4,264.7,241.2,288.2,499.6,425.4,1877.8,2244.8,2084.2,2975.3,2838.0,2829.0,3104.7,3528.8,3033.8,5578.5,3905.8,4722.5
Gorasp2,0.629,0.000633333333333,0.613,0.606,0.646,0.650,212.2,226.3,210.2,385.1,318.4,355.0,487.8,532.0,499.6,813.6,857.2,663.5,454.6,579.9,866.1,975.4,788.4,958.7,1239.1,1500.7,2356.8,1525.5,1810.9
Ppap2c,0.629,0.000966666666667,0.639,0.934,0.314,,17.3,15.1,13.5,24.4,24.2,23.2,14.0,13.7,11.7,14.3,13.9,65.6,65.5,66.3,227.5,202.7,197.9,1487.2,1787.2,2201.4,847.0,869.0,852.9
Abhd1,0.630,<0.00003,,0.579,0.619,0.691,28.0,27.2,31.3,36.5,34.5,33.4,152.3,193.9,145.8,297.6,269.0,139.4,125.1,127.3,204.7,194.5,233.6,321.1,325.8,344.7,557.1,443.2,435.7
Osgepl1,0.630,<0.00003,,0.565,0.680,0.645,11.1,10.9,11.4,13.9,12.5,14.7,110.9,116.8,107.5,200.3,195.5,110.9,115.4,116.1,160.0,156.3,186.9,2047.2,1611.4,1714.3,2538.7,2891.0,2898.8
Snx10,0.630,0.000866666666667,0.841,0.620,0.646,0.414,6.6,7.2,6.8,7.3,8.4,8.8,32.3,29.4,28.3,47.8,49.0,148.7,110.1,129.3,205.3,209.6,186.0,239.4,167.7,120.2,525.9,297.7,451.3
1110061o04Rik,0.631,0.0005,,0.561,0.624,0.706,,,,,,,361.8,389.8,380.3,719.8,624.8,458.5,417.1,422.3,710.2,711.9,657.3,1018.2,678.4,580.0,1473.5,811.0,937.9
0610038f07Rik,0.631,0.000666666666667,0.597,0.516,0.751,0.659,95.9,100.2,73.0,165.6,131.3,153.5,498.4,508.0,519.2,1000.1,971.8,390.3,390.5,370.3,550.8,465.0,518.0,1868.2,1695.0,1689.0,2852.9,2438.1,2673.4
Mtch1,0.631,0.000533333333333,0.621,0.518,0.634,0.751,96.0,95.2,104.8,155.6,164.6,156.7,1479.5,1978.2,1526.0,3256.0,3162.0,1229.8,1392.0,1285.3,1998.3,2006.2,2160.7,310.7,311.1,332.0,488.2,424.1,357.8
Lactb,0.631,0.001366666666667,0.607,0.647,0.592,0.678,29.2,28.2,26.7,47.9,43.2,47.6,59.4,26.9,76.8,61.7,106.4,149.8,156.4,147.9,221.3,244.2,302.1,4693.7,5313.4,4790.8,7759.8,6204.0,7859.0
Ppp2r4,0.631,0.0006,0.616,0.519,0.690,0.699,97.3,110.4,94.7,165.3,165.6,160.4,283.9,273.2,286.9,560.4,523.4,241.1,244.4,245.7,331.5,330.3,398.0,1075.6,1237.1,1202.8,1748.8,1760.8,1517.0
Crtc2,0.631,0.000133333333333,0.556,0.720,,0.618,111.8,110.7,112.8,209.9,193.6,199.9,687.9,626.6,649.8,791.6,1027.0,,,,,,,271.0,516.5,496.0,645.3,712.6,719.7
Dhrs1,0.631,6.66666666666667E-05,0.661,0.574,0.659,,47.5,39.1,37.9,68.4,59.2,60.7,37.6,47.5,51.1,85.8,72.4,195.9,209.7,195.9,309.4,305.0,298.2,357.4,371.3,254.1,414.1,407.5,422.1
E130102h24Rik,0.632,0.0003,,0.713,0.710,0.474,,,,,,,14.2,28.1,24.0,26.7,35.3,125.4,160.8,154.1,210.3,193.0,216.7,308.3,379.0,449.3,624.8,1081.4,693.8
Dus2l,0.632,0.0043,0.737,0.337,,0.823,20.0,18.1,20.6,28.8,27.9,23.1,319.8,356.4,273.0,898.3,980.2,,,,,,,370.1,315.3,413.4,663.0,285.8,386.0
Acn9,0.633,0.0001,,0.626,0.623,0.649,18.3,22.2,14.6,22.6,18.6,22.1,13.2,35.1,24.4,36.1,41.2,105.9,119.6,101.4,181.5,182.0,161.4,593.2,443.2,518.5,857.6,861.6,676.5
Odc1,0.633,0.000933333333333,0.487,0.506,0.773,0.768,85.6,79.0,40.4,154.9,108.9,157.4,1062.8,1017.6,999.6,2081.0,1980.7,18.8,24.9,17.5,28.4,23.7,27.1,761.3,752.9,728.8,1082.3,850.0,986.4
Hes6,0.635,6.66666666666667E-05,,0.610,0.683,0.612,49.2,54.8,53.5,62.8,47.1,61.2,667.6,690.8,793.4,1240.8,1112.0,1602.4,1529.3,1550.2,2301.3,2257.7,2297.8,6515.5,9071.0,11354.5,15613.7,15662.3,12776.3
2610042o14Rik,0.635,<0.00003,,0.703,0.614,0.587,,,,,,,987.3,1202.4,1146.3,1576.0,1586.9,70.3,73.8,62.9,117.5,110.7,108.6,544.3,692.2,772.8,1076.9,1484.0,863.4
Slc31a1,0.635,0.003833333333333,0.684,0.447,0.654,0.756,19.1,16.4,17.6,28.4,15.2,34.0,87.9,114.5,92.9,222.8,217.8,97.8,106.7,87.2,161.6,146.2,138.0,386.1,211.9,287.3,444.5,430.5,295.3
C1galt1,0.636,0.0001,0.570,,0.671,0.666,193.5,166.2,208.4,375.4,315.8,304.7,325.0,232.8,356.4,299.6,412.6,105.4,92.7,108.7,144.0,134.7,178.3,963.3,634.1,874.0,1108.9,990.1,1612.7
Txnrd2,0.636,<0.00003,,0.723,0.671,0.514,25.3,28.9,20.3,30.7,21.2,25.6,183.8,195.0,175.9,277.2,234.4,138.2,138.3,139.0,194.2,195.3,229.9,556.8,837.9,1066.1,1602.1,1666.7,1516.7
1110001j03Rik,0.636,0.0004,,0.589,0.718,0.601,,,,,,,1641.2,2277.0,1571.6,3201.0,3010.0,1084.7,1149.0,1006.0,1537.9,1475.6,1497.9,621.5,1155.9,883.0,1500.0,1944.5,983.4
Grpel2,0.636,0.010233333333333,0.709,0.462,0.489,0.886,65.0,65.2,68.8,101.8,85.2,93.6,125.4,144.8,124.1,265.0,303.9,189.5,225.7,198.8,440.6,434.6,380.1,249.1,129.1,219.4,22.2,356.8,295.8
Pqbp1,0.637,0.000366666666667,0.599,0.537,0.649,0.761,230.2,196.4,193.9,333.6,341.6,360.0,345.4,436.0,303.8,650.2,697.6,703.7,698.1,730.8,1097.4,1043.9,1143.3,1923.0,1721.4,1441.7,2970.3,1786.1,1930.6
Neil1,0.637,0.0017,0.679,0.491,0.808,0.569,19.1,21.9,19.4,29.0,25.1,35.0,213.2,239.2,254.8,502.2,457.8,41.4,39.7,47.4,62.5,42.4,54.2,115.7,102.9,125.8,244.6,206.4,154.1
Akr7a5,0.637,<0.00003,,0.614,0.629,0.668,46.0,37.1,40.1,40.6,43.5,45.7,207.4,180.3,176.4,366.0,247.0,561.5,500.9,507.1,803.3,802.1,890.1,132.4,180.0,185.4,335.1,219.3,191.0
D430028g21Rik,0.637,0.0005,0.566,0.626,0.702,0.653,50.6,57.1,59.9,119.8,91.5,84.6,328.7,316.0,286.9,575.1,416.9,191.6,208.2,192.1,311.4,261.2,270.6,200.9,195.6,217.6,434.2,236.9,269.4
Mphosph1,0.637,0.000433333333333,0.728,0.518,0.650,0.651,14.2,15.5,13.3,25.0,17.0,17.2,34.3,27.6,35.9,58.4,67.3,90.2,102.4,95.4,150.7,149.4,142.9,1002.5,880.0,835.8,1498.7,1454.0,1223.2
Fbxo30,0.637,0.006666666666667,0.616,0.630,0.665,,14.0,20.1,14.2,27.0,19.1,32.4,16.9,14.1,13.7,25.0,22.3,44.9,40.3,45.7,76.6,63.4,56.6,1249.7,1073.6,661.7,65.7,1589.3,1562.1
Grb2,0.637,0.000333333333333,0.716,0.591,0.660,0.582,172.7,205.5,183.2,253.5,257.2,273.7,3392.0,3544.0,3254.0,6112.0,5379.0,1596.5,1411.9,1694.7,2288.4,2162.2,2671.5,4879.8,7679.0,6895.9,10422.7,10337.3,12646.0
Exoc6,0.638,6.66666666666667E-05,0.653,0.579,,0.681,88.2,98.5,87.7,134.5,135.6,150.2,196.6,237.2,255.4,396.2,397.0,,,,,,,1751.6,1937.1,2213.1,3029.8,2708.2,2925.8
4930432o21Rik,0.638,0.0005,0.649,0.577,0.624,0.703,35.4,37.2,31.5,57.3,47.4,55.8,4.6,1.9,6.0,7.0,7.3,547.0,609.2,643.0,1039.0,973.1,870.0,1112.8,875.9,910.4,1414.0,1227.3,1480.8
Tpk1,0.639,0.0006,0.687,0.387,0.733,0.748,10.1,16.1,13.5,14.9,23.8,19.2,13.9,9.0,11.8,27.2,32.4,45.3,47.0,39.2,54.7,63.0,61.7,423.6,431.0,468.3,648.9,484.8,634.8
Traf5,0.639,0.001133333333333,0.645,0.579,0.675,0.656,138.2,131.0,137.7,223.1,186.3,221.3,1091.2,1307.6,1126.6,1994.0,2068.0,204.4,204.8,179.0,277.9,313.0,280.2,3092.7,3944.6,4190.1,4058.4,5988.8,7057.5
Kpna2,0.639,0.0012,0.627,0.525,0.679,0.727,55.7,47.0,42.3,91.9,65.4,74.0,517.4,560.0,537.8,1091.2,959.8,98.0,84.0,104.4,149.9,157.4,114.4,2302.8,2386.6,2096.4,3572.8,2459.1,3307.3
Rad51c,0.640,0.005566666666667,0.735,0.266,0.463,1.095,11.4,15.0,12.9,17.3,16.8,19.4,5.9,2.6,4.8,19.7,13.7,93.4,83.0,76.6,196.7,174.6,174.9,179.1,108.3,162.1,157.5,171.8,81.3
Jmjd1b,0.640,<0.00003,0.691,0.674,,0.554,323.2,367.3,337.3,500.5,438.8,548.1,154.1,208.5,130.9,231.0,257.0,54.2,52.1,57.5,54.9,67.1,58.0,928.3,1008.4,1439.8,1750.6,1793.0,2554.7
Etfb,0.640,0.000766666666667,0.651,0.576,0.690,0.642,38.7,46.5,47.5,69.7,65.3,68.8,1399.4,1576.0,1433.8,2534.0,2572.0,533.3,516.7,517.0,719.0,807.0,743.9,4626.1,4689.1,5640.2,8193.9,7993.1,7110.5
Zfp706,0.640,0.0001,0.611,0.572,,0.736,151.9,139.0,150.5,274.5,214.8,233.1,1742.4,1392.8,1504.2,2612.0,2794.0,,,,,,,1293.3,1110.3,1095.0,1708.3,1387.7,1654.6
Hmgn1,0.640,<0.00003,,0.548,0.681,0.692,90.5,95.9,83.8,95.3,100.1,103.6,4524.0,4312.0,5046.0,8832.0,8063.0,3025.0,2648.9,2570.3,4053.8,4008.4,4040.7,13917.5,13842.4,13023.7,19293.4,19364.1,20258.1
Nme6,0.641,0.001066666666667,0.776,0.483,0.642,0.661,17.8,18.5,20.5,23.8,23.8,25.5,24.5,16.2,29.4,55.9,40.9,45.2,50.7,49.9,81.2,68.0,77.9,449.2,488.6,437.8,923.3,544.7,613.9
Lgals8,0.641,0.000633333333333,0.564,0.595,0.663,0.740,140.7,136.4,124.4,227.1,239.1,245.8,616.2,582.6,550.2,845.6,1113.5,250.0,217.8,246.7,400.6,306.3,370.2,8174.3,6919.7,7533.1,10842.9,9195.3,10542.4
Hist2h2aa1,0.641,0.0009,0.703,0.561,0.655,0.645,452.4,456.1,390.6,673.5,587.9,587.5,77.4,71.1,74.8,131.0,134.5,384.9,387.7,398.0,626.0,576.4,585.4,3070.7,3383.6,4348.4,6197.7,6203.7,4352.3
Pomt2,0.641,<0.00003,,0.624,0.684,0.614,22.7,28.8,24.7,37.1,32.9,27.0,39.5,53.2,31.7,70.7,62.2,68.7,46.1,48.5,84.6,75.3,79.0,54.6,58.5,63.3,97.0,97.7,92.3
Cltc,0.641,0.000533333333333,0.543,0.781,0.470,0.769,319.3,332.1,319.8,640.4,553.0,594.8,287.2,232.8,269.0,287.7,385.6,79.2,88.9,95.2,206.4,172.8,180.6,966.9,717.1,727.1,969.5,920.6,1244.5
Zbtb7a,0.641,0.000233333333333,0.644,0.724,,0.555,42.6,43.1,40.9,66.7,68.2,61.6,152.3,196.6,147.1,212.0,244.6,,,,,,,1039.4,1439.6,1645.8,2139.1,2864.5,2425.5
Stat2,0.641,0.000666666666667,0.575,0.648,0.686,0.657,96.5,104.3,90.4,161.6,169.5,175.6,398.0,432.0,340.9,578.2,626.2,102.4,96.7,106.1,148.0,129.0,168.1,1535.3,1588.2,1705.8,2373.9,2476.0,2502.2
Uchl3,0.642,0.0005,0.677,0.615,0.563,0.711,112.7,93.4,101.0,169.8,141.3,142.8,383.4,393.8,334.3,636.4,568.1,37.6,29.7,33.7,70.6,55.0,53.8,5823.8,5293.1,6014.4,8302.4,8252.7,7532.5
Zfp385,0.642,0.0034,0.587,0.887,0.737,0.357,14.6,21.2,19.7,26.1,38.8,29.6,301.0,432.0,226.8,360.4,360.6,44.6,36.4,45.8,49.8,61.5,60.9,63.6,43.5,45.4,200.3,121.8,105.2
Hrsp12,0.643,<0.00003,,0.631,0.646,0.650,18.5,19.3,21.2,36.2,24.2,22.7,46.8,53.4,64.2,76.8,96.8,95.6,92.3,91.1,167.8,142.2,121.7,1522.9,1331.6,1224.9,2379.2,1857.9,2036.5
Cxcr4,0.643,<0.00003,0.602,0.654,0.674,,356.1,477.8,447.7,657.9,639.4,832.8,211.1,269.0,250.8,319.4,425.4,489.3,490.7,583.1,737.0,704.1,877.7,593.7,487.2,506.4,606.3,608.1,669.7
Wdr67,0.644,<0.00003,0.605,0.690,,0.637,13.8,11.1,12.2,21.4,22.5,17.5,36.1,50.3,49.8,64.8,66.8,,,,,,,171.5,80.1,167.6,207.5,225.3,225.2
Coq7,0.644,0.000766666666667,,0.614,0.570,0.748,14.6,18.8,18.6,21.2,17.7,17.2,58.4,95.8,86.3,106.9,154.3,57.3,50.5,59.1,95.4,95.2,102.5,187.4,334.8,173.4,309.8,337.0,283.4
Acss1,0.644,0.000666666666667,0.591,0.545,,0.795,70.1,84.2,82.1,126.5,138.8,134.8,1324.6,1072.2,1504.2,2490.0,2281.0,,,,,,,5037.7,4656.0,4961.0,6758.7,4751.7,6912.3
Mtbp,0.644,0.000866666666667,0.648,0.585,0.684,0.660,25.5,25.9,23.9,44.3,33.3,38.6,226.0,275.2,293.4,458.6,446.4,82.9,73.0,79.2,111.7,115.1,117.1,1524.9,1145.0,1022.1,2050.1,1747.2,1795.2
Tgfb1,0.644,0.000533333333333,0.590,0.638,0.651,0.699,402.1,335.2,316.8,631.4,512.4,643.5,333.9,251.8,302.0,488.3,439.2,239.5,233.5,194.6,280.9,330.0,414.2,240.0,196.5,234.3,394.3,231.6,333.9
Strn4,0.645,<0.00003,,0.693,0.729,0.513,107.6,99.3,110.6,98.5,97.1,98.5,706.5,826.8,655.2,1026.4,1080.2,71.5,60.4,72.7,84.4,93.6,102.6,260.3,251.6,276.4,503.4,589.9,442.7
Scd2,0.645,0.0005,0.691,0.611,0.599,0.679,73.0,90.3,59.4,108.6,96.5,117.3,323.0,310.0,372.2,504.8,591.4,816.2,970.4,913.8,1483.7,1532.9,1493.4,2444.7,2327.5,2372.5,3301.0,3493.3,3724.0
Ephx1,0.645,0.000333333333333,0.579,0.690,0.582,0.730,161.2,158.3,166.9,308.0,262.3,269.9,585.4,448.2,593.8,875.9,696.1,777.8,805.4,840.8,1431.6,1357.3,1377.5,5746.5,4780.3,4879.8,8347.4,6630.2,6134.7
Tesk2,0.645,0.001366666666667,0.646,0.534,0.671,0.730,25.5,24.9,20.4,40.9,32.8,35.9,57.2,52.7,67.8,107.6,114.3,26.1,27.8,26.2,40.0,40.3,39.1,236.6,279.4,294.5,483.4,252.3,374.5
1110004b13Rik,0.645,<0.00003,,0.665,0.789,0.481,,,,,,,84.5,94.1,71.8,135.3,115.5,38.7,38.5,39.1,51.4,43.7,52.3,164.3,131.7,101.0,306.9,306.9,211.1
Eif2c4,0.646,0.002433333333333,0.440,0.999,0.927,0.216,5.4,5.7,5.5,13.1,11.1,13.3,50.9,75.6,67.8,69.1,60.5,109.3,130.1,111.6,144.1,116.9,117.6,36.3,40.7,73.8,288.7,88.3,320.0
Pole3,0.647,0.0004,,0.607,0.655,0.678,28.3,24.2,29.5,30.5,27.9,28.2,174.6,212.1,186.8,345.4,285.0,60.5,67.5,68.4,117.1,105.5,77.3,308.4,395.4,304.6,552.6,566.8,367.4
Mthfsd,0.648,0.0034,1.042,0.483,,0.421,39.8,45.5,43.5,40.9,46.0,36.7,98.6,72.7,106.9,193.9,190.4,,,,,,,870.2,1576.7,1211.1,2787.0,3607.0,2305.0
Stard5,0.648,<0.00003,,0.687,0.626,0.633,62.6,56.2,59.8,79.2,78.2,75.6,86.2,76.3,74.3,136.8,93.1,136.8,165.1,134.2,219.3,251.9,225.9,1190.9,1087.4,1063.3,1970.0,1826.8,1481.9
Hist1h4i,0.648,0.0023,0.961,0.514,0.748,0.371,16.7,22.1,21.9,17.6,24.8,20.8,128.0,99.6,109.3,238.0,199.4,115.5,146.5,176.0,164.1,183.0,238.5,751.4,1017.5,1137.3,2614.4,2902.7,2314.1
Ctnna1,0.649,<0.00003,0.722,0.564,,0.660,32.6,35.2,31.8,47.5,45.1,45.4,383.4,393.8,401.6,687.7,705.4,,,,,,,5345.7,4893.6,5326.0,8082.7,7933.5,7576.5
Cntrob,0.649,0.0001,0.767,0.429,,0.750,26.9,25.1,27.8,39.3,35.5,29.4,45.3,47.2,53.1,132.5,93.7,,,,,,,137.7,147.1,123.0,177.9,179.7,186.0
4930504e06Rik,0.650,0.000766666666667,,0.640,0.606,0.704,,,,,,,469.6,448.2,498.4,856.5,618.8,561.5,563.8,594.7,881.1,936.5,1022.0,681.1,433.8,664.4,1056.4,647.2,823.8
D130040h23Rik,0.650,0.0128,0.627,0.623,0.677,0.673,15.5,17.6,23.1,29.9,31.5,28.3,12.8,2.2,6.3,6.2,16.6,62.4,55.6,65.1,84.2,93.8,92.5,306.1,237.4,400.7,295.2,745.5,363.0
Qk,0.650,0.001433333333333,0.588,0.135,1.034,0.844,76.4,73.4,67.9,131.4,109.3,129.8,38.7,53.2,29.8,294.6,307.8,25.7,30.5,25.8,24.8,25.3,29.2,2603.3,2172.8,1618.4,2318.4,2225.3,3033.2
2610015p09Rik,0.650,0.000266666666667,,0.636,0.658,0.657,,,,,,,198.1,224.2,241.4,368.4,327.4,160.2,163.0,190.6,261.8,255.9,263.1,194.6,195.8,293.9,459.5,329.1,253.2
Bc046331,0.650,0.000366666666667,0.766,0.628,0.713,0.495,44.6,44.2,39.8,55.3,55.4,57.1,35.1,31.0,23.2,54.9,39.9,137.7,155.7,126.9,194.4,198.8,195.8,226.9,147.4,254.2,420.8,438.3,411.7
Ssfa2,0.650,0.002666666666667,0.676,0.620,0.655,,58.0,58.9,53.4,85.3,78.2,88.5,10.9,27.8,11.9,27.3,27.1,151.5,148.1,159.5,238.8,247.6,214.9,979.8,771.9,541.6,709.6,492.2,995.0
D030070l09Rik,0.650,<0.00003,,0.529,0.765,0.656,,,,,,,93.2,117.9,130.9,234.1,196.6,947.5,897.8,907.6,1294.5,1203.2,1098.6,4430.1,5851.2,5350.4,7440.0,9199.1,7178.3
Gstz1,0.651,3.33333333333333E-05,,0.541,0.768,0.644,,,,,,,58.2,46.1,70.7,98.3,117.3,150.4,170.9,177.6,212.0,221.4,216.6,1024.5,807.8,852.6,1449.9,1340.0,1381.7
Dtnbp1,0.651,0.000266666666667,0.720,0.593,0.717,0.575,42.3,52.6,35.7,64.8,57.2,59.4,463.2,511.0,453.0,815.4,788.4,459.3,465.9,487.9,610.2,679.4,681.9,669.1,600.9,528.4,1070.6,1010.6,1047.1
Prep,0.652,0.0006,0.673,0.630,0.630,0.673,100.7,93.2,107.8,151.5,144.5,152.4,195.7,201.1,172.0,266.4,335.2,144.2,120.9,151.4,198.3,217.3,245.1,1582.0,1463.0,1730.8,2234.2,2227.1,2638.5
Bri3bp,0.652,<0.00003,0.761,0.582,,0.612,68.0,74.1,60.5,84.8,83.3,98.3,477.0,612.2,543.6,1014.5,854.9,22.9,23.8,26.6,23.7,27.7,21.0,1449.9,1617.2,1884.0,2778.2,2396.1,2913.9
Rnf41,0.652,0.0003,0.536,0.711,0.814,0.545,66.1,66.0,58.1,120.4,115.6,118.8,84.5,86.4,72.9,124.6,103.9,37.7,39.4,32.5,45.5,43.8,45.2,1132.9,1093.3,978.3,2007.1,2062.6,1807.1
Lass4,0.652,0.000566666666667,0.594,0.644,0.715,0.654,81.5,88.3,93.0,147.7,141.7,152.6,775.4,964.9,806.6,1459.6,1178.0,47.5,48.9,39.7,60.6,67.9,61.9,4015.7,4067.3,3666.5,5919.1,5535.6,6501.8
Hus1,0.652,0.000233333333333,0.639,,0.648,0.668,31.9,31.9,29.8,51.1,46.4,48.8,53.2,51.0,53.5,53.4,81.7,237.8,222.7,249.2,403.4,338.7,352.8,622.9,522.0,591.1,854.2,982.3,760.6
2700008b19Rik,0.652,0.0004,,0.675,0.573,0.708,,,,,,,732.0,537.8,643.8,868.6,1020.8,250.2,229.3,224.0,409.8,416.9,400.9,811.7,906.8,1001.8,1533.9,854.1,1453.3
Fancb,0.652,0.000666666666667,0.542,0.591,,0.823,8.7,9.9,7.4,16.0,17.1,14.8,55.2,60.3,54.7,88.6,103.2,,,,,,,395.8,281.9,220.4,299.1,430.2,361.5
Pdcd2l,0.653,<0.00003,0.836,0.516,,0.606,43.8,49.7,50.6,62.3,55.1,55.0,627.4,597.2,689.1,1145.6,1324.6,,,,,,,2327.8,2816.4,2356.2,4823.5,3707.8,3847.3
Uap1,0.653,0.000733333333333,0.692,0.552,0.648,0.721,50.2,41.5,44.4,65.9,60.7,70.0,119.6,109.3,110.9,195.7,215.1,257.3,236.4,232.0,398.7,352.7,367.7,689.1,471.8,506.6,809.6,651.3,852.0
Rfc4,0.653,<0.00003,0.685,0.670,0.605,,33.4,49.6,33.7,60.0,59.4,51.0,197.4,202.5,199.0,294.6,301.2,255.3,248.3,254.8,447.1,454.5,351.7,920.9,734.9,711.6,1305.3,949.3,749.3
Acp1,0.654,0.000333333333333,0.584,0.693,0.618,0.720,66.6,67.8,65.8,109.7,113.0,120.4,49.7,21.5,46.3,55.4,57.5,79.1,105.3,94.0,130.0,158.4,162.2,2170.3,2789.0,2476.9,3317.4,2988.9,4025.8
Parp2,0.654,0.0005,0.607,0.582,,0.773,79.0,87.0,80.3,144.6,128.0,133.4,173.3,181.2,186.2,320.6,299.0,,,,,,,2748.4,1944.3,2577.2,3642.3,2539.6,3226.1
Fbxl5,0.654,0.000166666666667,0.624,0.660,0.679,,84.0,81.8,75.6,139.1,113.0,134.9,160.8,224.2,157.6,267.8,280.5,132.1,115.0,122.4,178.5,180.5,185.2,3816.0,3567.3,3507.9,5378.2,4506.1,4688.0
Lifr,0.654,0.0051,0.347,0.973,1.008,0.290,5.8,4.8,5.1,11.2,19.6,14.6,28.1,42.7,30.1,38.1,31.0,28.4,29.8,30.3,26.0,29.9,31.9,88.4,176.2,121.4,382.8,536.3,413.9
Dalrd3,0.654,<0.00003,0.660,0.682,,0.622,91.3,102.9,100.5,174.2,136.2,136.2,763.8,648.2,712.8,1032.6,1045.2,,,,,,,165.6,150.7,193.0,360.9,241.7,216.6
Trappc5,0.655,0.001033333333333,0.673,0.489,0.652,0.806,66.0,52.1,46.0,78.2,90.7,75.1,432.5,424.4,476.2,872.8,945.4,144.9,125.5,118.1,212.8,199.9,182.8,4745.3,3761.8,3676.2,5593.0,4177.8,5353.1
Nsmaf,0.655,0.0006,0.567,0.683,0.669,0.701,119.1,154.1,126.1,259.3,233.2,211.9,850.4,958.2,851.4,1166.0,1431.6,456.5,487.1,514.8,721.1,729.0,730.1,2246.3,2280.6,2498.7,3465.2,3643.3,2907.2
Plcb3,0.656,0.007766666666667,0.666,0.460,0.869,0.629,21.0,23.2,27.4,35.5,40.9,31.1,9.8,30.4,14.1,43.3,35.4,53.0,63.5,57.2,70.4,56.3,73.2,102.5,131.0,89.1,104.7,265.1,143.0
Hisppd2a,0.656,0.0004,0.759,0.721,,0.488,20.2,21.3,21.3,26.8,28.7,27.2,38.1,63.1,57.2,49.6,96.9,,,,,,,314.1,372.7,297.8,738.9,736.2,542.9
Rbed1,0.656,<0.00003,0.702,0.664,,0.603,35.4,34.3,22.2,37.3,46.2,47.4,147.3,195.0,150.3,271.1,223.2,,,,,,,209.2,185.4,221.8,337.4,385.6,300.0
5730403b10Rik,0.656,0.014266666666667,,0.075,1.018,0.875,,,,,,,144.6,147.1,104.7,1926.6,1586.9,48.5,52.4,54.7,45.1,54.8,53.0,1320.8,1419.5,1571.5,1805.0,1507.6,1613.3
Chd9,0.656,0.002133333333333,0.569,0.699,0.547,0.809,86.4,94.1,98.8,164.2,158.1,168.3,76.2,49.4,64.2,69.4,111.5,188.5,173.5,154.1,307.2,310.2,325.2,935.6,552.9,690.5,898.0,687.0,1108.2
Th1l,0.656,0.000233333333333,0.635,0.680,0.727,0.584,35.1,36.7,36.1,59.2,53.5,57.3,418.8,456.1,478.0,637.4,689.8,160.6,196.7,183.8,248.9,228.0,267.5,940.2,859.0,803.4,1670.9,1405.9,1379.0
Ppargc1a,0.657,0.000133333333333,0.593,0.823,0.817,0.393,5.3,5.7,6.2,9.4,9.0,10.7,35.1,29.0,32.2,36.8,41.2,40.7,34.1,29.0,38.9,41.8,46.2,40.7,49.5,93.3,177.2,102.0,187.9
Mars2,0.657,0.0003,0.820,0.519,,0.630,73.4,57.0,52.2,70.5,77.5,74.6,52.0,32.5,49.1,86.9,84.5,,,,,,,148.4,139.6,160.0,291.4,180.1,239.5
Rabgef1,0.657,0.004066666666667,0.726,0.531,0.605,0.766,62.2,72.6,62.8,105.4,74.1,92.7,209.6,267.0,147.5,354.3,429.0,666.2,598.8,565.7,1064.2,949.0,1015.2,289.1,137.9,206.5,284.1,169.9,372.5
Sfrs9,0.657,0.0007,0.599,0.536,0.743,0.751,113.6,90.1,84.9,170.5,161.4,150.1,945.8,1684.4,879.6,2294.0,2068.0,742.8,612.0,650.7,942.9,793.7,963.7,4803.5,3779.2,3888.9,5335.4,6506.8,4754.8
Gadd45b,0.658,0.0007,0.765,0.627,0.784,0.455,70.6,51.5,44.8,72.4,65.6,80.2,336.0,303.9,195.3,436.6,451.3,79.5,53.0,60.1,81.6,84.9,79.1,1469.1,1382.6,1321.0,3208.6,3392.0,2564.8
Zc3h12d,0.658,0.000633333333333,0.609,0.534,,0.831,107.9,103.1,91.4,183.6,159.6,153.1,111.5,93.7,130.2,203.7,215.1,,,,,,,4274.5,4095.5,3828.3,5872.2,3265.2,5540.8
Tbc1d14,0.659,3.33333333333333E-05,0.647,0.600,,0.730,117.6,101.5,104.7,168.1,164.1,168.7,797.7,736.6,719.6,1267.9,1235.8,,,,,,,4798.3,3611.1,4250.2,5722.2,5353.1,6263.0
Cwf19l1,0.660,0.001,0.706,0.590,0.639,0.703,34.4,42.5,33.8,53.7,50.6,52.4,87.9,109.3,96.4,156.7,175.1,448.1,410.9,411.6,673.7,702.6,612.8,1399.2,1013.7,1043.9,2012.5,1297.4,1604.4
Zfp513,0.660,<0.00003,,0.684,0.686,0.609,78.1,79.1,61.9,86.6,83.8,79.3,257.0,291.2,275.6,425.4,377.4,412.9,484.1,513.0,612.6,683.0,759.6,345.0,394.4,386.2,535.7,791.3,520.2
A530089i17Rik,0.660,<0.00003,,0.520,0.746,0.714,,,,,,,184.5,155.6,217.4,360.4,354.2,93.2,89.9,91.2,114.8,144.2,108.8,609.6,477.6,609.0,890.4,713.5,771.8
Cenpa,0.660,<0.00003,0.684,0.656,,0.641,83.5,62.5,73.2,108.6,98.1,113.9,65.5,86.2,61.1,104.1,112.2,1051.1,1035.9,1223.5,1288.9,1360.4,1242.9,4204.1,3322.5,3827.9,6322.3,5417.8,5983.8
